Region,Tower_ID,Date,Call_Drops,Signal_Strength,Congestion_Level,Handoff_Failure,Notes
Bangalore,T209,2025-07-12,45,-92 dBm,Low,8%,Fiber issue detected
Kolkata,T974,2025-03-10,107,-81 dBm,Low,15%,Maintenance activity
Chennai,T207,2025-03-23,88,-107 dBm,High,12%,Maintenance activity
Chennai,T781,2025-02-11,109,-110 dBm,Low,10%,Poor weather
Bangalore,T567,2025-03-16,53,-107 dBm,Medium,18%,Power fluctuation
Chennai,T155,2025-11-04,79,-70 dBm,Medium,17%,Maintenance activity
Mumbai,T974,2025-11-16,128,-82 dBm,High,4%,Backhaul congestion
Hyderabad,T854,2025-08-06,84,-75 dBm,High,3%,Normal operation
Mumbai,T768,2025-01-08,111,-70 dBm,High,18%,Normal operation
Kolkata,T223,2025-07-20,121,-107 dBm,Medium,15%,Backhaul congestion
Delhi,T176,2025-05-24,9,-83 dBm,Medium,8%,Power fluctuation
Kolkata,T764,2025-02-20,67,-102 dBm,High,16%,Peak hour traffic
Delhi,T779,2025-08-08,44,-107 dBm,High,9%,Normal operation
Chennai,T851,2025-07-10,129,-89 dBm,Low,16%,Heavy user load
Delhi,T297,2025-08-31,77,-75 dBm,Medium,11%,Peak hour traffic
Hyderabad,T172,2025-06-11,85,-109 dBm,High,12%,Maintenance activity
Delhi,T571,2025-05-08,16,-73 dBm,High,5%,Normal operation
Delhi,T146,2025-06-26,78,-106 dBm,Low,19%,Peak hour traffic
Kolkata,T295,2025-09-10,37,-72 dBm,Low,9%,Maintenance activity
Chennai,T595,2025-06-03,128,-110 dBm,High,17%,Poor weather
Hyderabad,T109,2025-02-01,100,-75 dBm,High,14%,Backhaul congestion
Delhi,T897,2025-04-26,47,-81 dBm,Medium,10%,Peak hour traffic
Hyderabad,T207,2025-01-17,59,-75 dBm,Low,20%,Maintenance activity
Delhi,T916,2025-12-21,38,-82 dBm,Low,7%,Normal operation
Chennai,T572,2025-07-18,150,-98 dBm,High,9%,Fiber issue detected
Hyderabad,T250,2025-02-11,55,-82 dBm,High,17%,Poor weather
Delhi,T859,2025-10-06,32,-79 dBm,Medium,4%,Power fluctuation
Delhi,T386,2025-05-05,49,-70 dBm,High,16%,Normal operation
Bangalore,T910,2025-12-09,112,-103 dBm,Medium,4%,Power fluctuation
Bangalore,T432,2025-12-09,133,-74 dBm,High,20%,Backhaul congestion
Bangalore,T722,2025-01-16,25,-81 dBm,Low,7%,Heavy user load
Kolkata,T685,2025-06-09,143,-81 dBm,High,10%,Power fluctuation
Mumbai,T504,2025-05-14,30,-72 dBm,Medium,3%,Normal operation
Delhi,T291,2025-07-22,19,-94 dBm,Low,11%,Fiber issue detected
Kolkata,T118,2025-08-20,50,-108 dBm,High,2%,Poor weather
Mumbai,T309,2025-10-26,57,-73 dBm,Low,4%,Poor weather
Kolkata,T774,2025-12-02,105,-81 dBm,Medium,8%,Power fluctuation
Mumbai,T451,2025-06-03,18,-107 dBm,Medium,16%,Maintenance activity
Bangalore,T265,2025-11-08,38,-88 dBm,Medium,16%,Maintenance activity
Delhi,T895,2025-08-07,39,-79 dBm,Low,4%,Power fluctuation
Kolkata,T562,2025-01-11,76,-77 dBm,Low,19%,Maintenance activity
Hyderabad,T806,2025-05-21,130,-76 dBm,High,18%,Poor weather
Bangalore,T266,2025-02-04,95,-93 dBm,Low,19%,Poor weather
Chennai,T453,2025-10-02,59,-73 dBm,Medium,9%,Maintenance activity
Kolkata,T207,2025-12-24,51,-100 dBm,High,20%,Poor weather
Bangalore,T335,2025-07-03,108,-70 dBm,High,8%,Backhaul congestion
Mumbai,T112,2025-07-11,60,-90 dBm,Low,7%,Backhaul congestion
Kolkata,T928,2025-11-27,65,-95 dBm,Low,3%,Peak hour traffic
Chennai,T645,2025-04-19,35,-99 dBm,High,16%,Power fluctuation
Chennai,T984,2025-05-05,131,-70 dBm,Medium,12%,Power fluctuation
Mumbai,T960,2025-09-02,23,-84 dBm,High,7%,Heavy user load
Delhi,T486,2025-08-23,21,-89 dBm,Medium,5%,Heavy user load
Hyderabad,T679,2025-04-07,89,-90 dBm,Low,9%,Poor weather
Kolkata,T972,2025-06-30,139,-76 dBm,Medium,20%,Poor weather
Kolkata,T522,2025-11-11,123,-85 dBm,Low,17%,Maintenance activity
Kolkata,T416,2025-03-19,106,-102 dBm,Low,15%,Poor weather
Hyderabad,T393,2025-02-03,8,-100 dBm,Medium,3%,Peak hour traffic
Hyderabad,T248,2025-12-17,93,-81 dBm,Medium,3%,Peak hour traffic
Chennai,T251,2025-12-04,87,-96 dBm,Low,8%,Normal operation
Bangalore,T700,2025-12-23,77,-73 dBm,High,5%,Power fluctuation
Delhi,T680,2025-04-13,26,-72 dBm,Low,12%,Power fluctuation
Chennai,T854,2025-05-01,52,-84 dBm,Medium,6%,Backhaul congestion
Chennai,T466,2025-12-20,129,-74 dBm,High,17%,Backhaul congestion
Chennai,T559,2025-07-10,79,-99 dBm,Medium,10%,Power fluctuation
Delhi,T793,2025-12-29,99,-97 dBm,Medium,20%,Power fluctuation
Delhi,T236,2025-05-16,95,-84 dBm,Medium,16%,Heavy user load
Bangalore,T354,2025-06-04,84,-93 dBm,Low,6%,Peak hour traffic
Kolkata,T476,2025-02-14,107,-80 dBm,Medium,9%,Heavy user load
Hyderabad,T415,2025-08-01,119,-90 dBm,Low,7%,Maintenance activity
Bangalore,T211,2025-03-26,68,-100 dBm,Medium,20%,Normal operation
Kolkata,T217,2025-02-15,139,-97 dBm,Low,19%,Fiber issue detected
Mumbai,T550,2025-01-27,41,-70 dBm,Medium,2%,Fiber issue detected
Mumbai,T668,2025-12-24,11,-103 dBm,Medium,10%,Fiber issue detected
Mumbai,T330,2025-12-12,29,-91 dBm,High,12%,Backhaul congestion
Chennai,T335,2025-12-29,35,-94 dBm,Low,11%,Fiber issue detected
Mumbai,T851,2025-08-24,128,-109 dBm,Medium,5%,Normal operation
Hyderabad,T412,2025-06-28,113,-99 dBm,Low,8%,Heavy user load
Mumbai,T737,2025-02-10,130,-97 dBm,Medium,13%,Backhaul congestion
Chennai,T463,2025-10-02,92,-84 dBm,High,8%,Backhaul congestion
Hyderabad,T495,2025-08-31,116,-77 dBm,Medium,11%,Normal operation
Mumbai,T880,2025-09-26,22,-79 dBm,Medium,14%,Power fluctuation
Chennai,T235,2025-12-31,93,-92 dBm,High,20%,Peak hour traffic
Chennai,T432,2025-12-02,131,-96 dBm,High,3%,Peak hour traffic
Chennai,T133,2025-12-02,29,-100 dBm,High,20%,Backhaul congestion
Delhi,T453,2025-07-13,30,-108 dBm,High,14%,Normal operation
Hyderabad,T803,2025-05-05,39,-73 dBm,Low,15%,Power fluctuation
Chennai,T532,2025-04-10,87,-82 dBm,Low,17%,Peak hour traffic
Bangalore,T290,2025-06-25,80,-89 dBm,Low,8%,Peak hour traffic
Mumbai,T536,2025-01-11,55,-86 dBm,Medium,1%,Maintenance activity
Chennai,T973,2025-12-31,64,-110 dBm,Low,5%,Fiber issue detected
Chennai,T799,2025-11-20,116,-84 dBm,Low,11%,Backhaul congestion
Delhi,T597,2025-12-06,132,-78 dBm,Medium,17%,Backhaul congestion
Delhi,T614,2025-03-28,58,-104 dBm,Medium,1%,Fiber issue detected
Hyderabad,T471,2025-05-25,149,-80 dBm,Low,6%,Poor weather
Delhi,T316,2025-04-12,92,-105 dBm,Low,15%,Peak hour traffic
Chennai,T394,2025-11-29,28,-92 dBm,Low,1%,Maintenance activity
Hyderabad,T619,2025-10-28,46,-83 dBm,High,4%,Poor weather
Kolkata,T272,2025-12-17,90,-94 dBm,Low,4%,Peak hour traffic
Kolkata,T757,2025-01-19,123,-104 dBm,Low,15%,Poor weather
Bangalore,T568,2025-07-21,6,-100 dBm,Low,9%,Fiber issue detected
Chennai,T834,2025-10-22,114,-87 dBm,Medium,11%,Peak hour traffic
Delhi,T620,2025-07-06,90,-93 dBm,High,15%,Peak hour traffic
Bangalore,T599,2025-10-21,88,-79 dBm,Low,11%,Poor weather
Kolkata,T729,2025-09-18,138,-91 dBm,High,7%,Heavy user load
Mumbai,T195,2025-07-07,150,-102 dBm,Medium,14%,Heavy user load
Mumbai,T994,2025-06-23,50,-72 dBm,High,10%,Maintenance activity
Hyderabad,T376,2025-03-18,10,-77 dBm,Low,4%,Fiber issue detected
Chennai,T844,2025-10-06,83,-82 dBm,High,12%,Power fluctuation
Hyderabad,T613,2025-08-16,73,-103 dBm,Low,6%,Normal operation
Mumbai,T315,2025-07-16,40,-78 dBm,Low,6%,Maintenance activity
Chennai,T587,2025-12-15,121,-71 dBm,High,14%,Backhaul congestion
Chennai,T473,2025-07-02,55,-90 dBm,High,13%,Peak hour traffic
Kolkata,T593,2025-01-01,114,-104 dBm,Low,4%,Normal operation
Chennai,T163,2025-09-07,19,-97 dBm,Low,6%,Peak hour traffic
Hyderabad,T836,2025-10-04,61,-105 dBm,High,15%,Heavy user load
Chennai,T927,2025-10-28,125,-94 dBm,Medium,6%,Fiber issue detected
Hyderabad,T565,2025-07-30,9,-72 dBm,High,11%,Poor weather
Mumbai,T322,2025-02-27,9,-72 dBm,High,6%,Power fluctuation
Hyderabad,T567,2025-07-31,18,-107 dBm,High,17%,Normal operation
Delhi,T600,2025-01-27,83,-92 dBm,Medium,17%,Maintenance activity
Delhi,T748,2025-11-09,96,-74 dBm,High,13%,Normal operation
Mumbai,T443,2025-05-21,144,-102 dBm,Low,17%,Fiber issue detected
Chennai,T840,2025-08-25,17,-72 dBm,Low,7%,Fiber issue detected
Kolkata,T274,2025-04-14,60,-83 dBm,Low,4%,Fiber issue detected
Mumbai,T893,2025-12-13,25,-70 dBm,High,3%,Power fluctuation
Chennai,T213,2025-09-29,52,-73 dBm,Low,18%,Peak hour traffic
Chennai,T910,2025-03-08,69,-97 dBm,Medium,5%,Backhaul congestion
Delhi,T749,2025-09-20,20,-105 dBm,Medium,15%,Maintenance activity
Delhi,T635,2025-01-26,10,-78 dBm,Low,5%,Peak hour traffic
Kolkata,T834,2025-09-06,129,-84 dBm,Low,18%,Power fluctuation
Chennai,T297,2025-04-19,125,-109 dBm,Medium,18%,Heavy user load
Kolkata,T660,2025-05-04,90,-91 dBm,Low,13%,Backhaul congestion
Hyderabad,T412,2025-06-18,84,-98 dBm,Low,10%,Maintenance activity
Delhi,T655,2025-01-16,97,-82 dBm,Medium,2%,Fiber issue detected
Chennai,T810,2025-12-11,117,-81 dBm,Medium,6%,Heavy user load
Delhi,T620,2025-02-09,43,-76 dBm,Medium,13%,Power fluctuation
Kolkata,T108,2025-09-18,13,-98 dBm,High,5%,Normal operation
Chennai,T927,2025-04-27,93,-107 dBm,High,3%,Poor weather
Bangalore,T350,2025-12-25,132,-72 dBm,Medium,14%,Heavy user load
Delhi,T695,2025-03-29,20,-73 dBm,Medium,12%,Power fluctuation
Chennai,T349,2025-11-28,90,-74 dBm,Medium,12%,Power fluctuation
Mumbai,T661,2025-04-06,127,-80 dBm,Low,5%,Fiber issue detected
Mumbai,T378,2025-04-03,69,-98 dBm,Low,18%,Peak hour traffic
Mumbai,T788,2025-12-11,37,-100 dBm,Low,16%,Power fluctuation
Bangalore,T640,2025-03-22,105,-82 dBm,High,5%,Heavy user load
Bangalore,T754,2025-07-18,75,-105 dBm,Low,11%,Peak hour traffic
Mumbai,T713,2025-01-04,97,-87 dBm,Low,18%,Heavy user load
Hyderabad,T801,2025-03-25,76,-104 dBm,High,8%,Maintenance activity
Chennai,T263,2025-11-04,115,-104 dBm,High,4%,Backhaul congestion
Chennai,T172,2025-08-27,100,-103 dBm,Low,20%,Heavy user load
Kolkata,T176,2025-11-30,48,-86 dBm,High,3%,Power fluctuation
Chennai,T413,2025-11-14,130,-83 dBm,Low,9%,Peak hour traffic
Bangalore,T635,2025-01-15,84,-85 dBm,Medium,10%,Heavy user load
Kolkata,T882,2025-03-26,64,-96 dBm,Low,20%,Heavy user load
Kolkata,T945,2025-03-29,55,-103 dBm,Low,15%,Backhaul congestion
Hyderabad,T257,2025-08-28,116,-71 dBm,Medium,6%,Poor weather
Bangalore,T107,2025-08-11,12,-96 dBm,Low,7%,Backhaul congestion
Delhi,T238,2025-05-06,149,-91 dBm,Medium,5%,Peak hour traffic
Kolkata,T438,2025-06-04,148,-77 dBm,Medium,11%,Normal operation
Mumbai,T240,2026-01-01,17,-91 dBm,Low,10%,Maintenance activity
Kolkata,T500,2025-06-07,136,-100 dBm,Medium,12%,Poor weather
Kolkata,T158,2025-11-06,6,-73 dBm,Medium,8%,Maintenance activity
Chennai,T722,2025-03-01,64,-84 dBm,High,5%,Peak hour traffic
Mumbai,T950,2025-05-30,107,-103 dBm,Low,18%,Maintenance activity
Chennai,T820,2025-04-23,121,-84 dBm,High,7%,Maintenance activity
Kolkata,T863,2025-08-10,116,-99 dBm,High,19%,Heavy user load
Chennai,T388,2025-02-01,142,-89 dBm,Low,16%,Heavy user load
Delhi,T515,2025-02-20,88,-82 dBm,Medium,6%,Power fluctuation
Delhi,T995,2025-08-20,25,-92 dBm,Medium,10%,Power fluctuation
Hyderabad,T898,2025-06-03,139,-110 dBm,Medium,20%,Poor weather
Chennai,T397,2025-12-25,44,-106 dBm,Medium,18%,Backhaul congestion
Hyderabad,T720,2025-01-21,142,-91 dBm,Medium,3%,Backhaul congestion
Kolkata,T751,2025-07-08,140,-74 dBm,High,18%,Normal operation
Delhi,T539,2025-12-25,69,-77 dBm,Medium,1%,Poor weather
Hyderabad,T370,2025-03-18,38,-105 dBm,Medium,4%,Maintenance activity
Mumbai,T285,2025-10-27,104,-103 dBm,Low,1%,Heavy user load
Delhi,T642,2025-09-28,149,-100 dBm,Low,3%,Normal operation
Kolkata,T537,2025-06-22,97,-96 dBm,Low,8%,Normal operation
Delhi,T572,2025-10-21,136,-109 dBm,High,4%,Fiber issue detected
Hyderabad,T938,2025-02-12,5,-96 dBm,Medium,15%,Fiber issue detected
Chennai,T772,2025-08-10,111,-73 dBm,Low,14%,Maintenance activity
Chennai,T834,2025-02-19,75,-100 dBm,Medium,9%,Poor weather
Delhi,T986,2025-11-07,104,-105 dBm,Low,19%,Normal operation
Delhi,T680,2025-02-15,76,-80 dBm,Low,1%,Peak hour traffic
Mumbai,T867,2025-06-23,51,-100 dBm,Medium,3%,Power fluctuation
Mumbai,T507,2025-05-18,15,-80 dBm,Low,18%,Power fluctuation
Hyderabad,T168,2025-06-08,32,-79 dBm,Low,18%,Fiber issue detected
Mumbai,T485,2025-06-27,46,-109 dBm,Low,13%,Backhaul congestion
Mumbai,T605,2025-11-13,13,-99 dBm,Medium,16%,Heavy user load
Hyderabad,T245,2025-04-02,39,-81 dBm,High,4%,Poor weather
Hyderabad,T772,2025-11-28,124,-102 dBm,Low,3%,Maintenance activity
Kolkata,T717,2025-10-07,38,-78 dBm,Medium,10%,Normal operation
Bangalore,T778,2025-11-07,37,-90 dBm,Low,4%,Peak hour traffic
Hyderabad,T644,2025-12-10,150,-108 dBm,Low,13%,Peak hour traffic
Hyderabad,T267,2025-04-29,21,-77 dBm,Medium,18%,Fiber issue detected
Kolkata,T795,2025-06-09,32,-105 dBm,Low,8%,Peak hour traffic
Bangalore,T142,2025-12-08,44,-84 dBm,High,10%,Power fluctuation
Kolkata,T594,2025-07-23,143,-109 dBm,High,8%,Peak hour traffic
Kolkata,T831,2025-05-13,99,-95 dBm,High,1%,Fiber issue detected
Hyderabad,T320,2025-11-14,67,-109 dBm,High,2%,Normal operation
Delhi,T965,2025-12-30,61,-84 dBm,Medium,5%,Backhaul congestion
Hyderabad,T283,2025-06-26,5,-80 dBm,Medium,18%,Maintenance activity
Hyderabad,T884,2025-05-07,83,-93 dBm,High,11%,Peak hour traffic
Bangalore,T182,2025-11-14,45,-77 dBm,Low,15%,Poor weather
Delhi,T770,2025-09-14,114,-94 dBm,Medium,7%,Normal operation
Hyderabad,T280,2025-10-19,134,-73 dBm,Medium,17%,Power fluctuation
Bangalore,T548,2025-06-15,56,-90 dBm,Low,2%,Poor weather
Bangalore,T703,2025-03-02,21,-75 dBm,Low,8%,Backhaul congestion
Kolkata,T861,2025-07-04,137,-75 dBm,Medium,20%,Peak hour traffic
Bangalore,T606,2025-06-08,86,-74 dBm,Low,20%,Peak hour traffic
Chennai,T288,2025-02-14,133,-103 dBm,Medium,8%,Peak hour traffic
Delhi,T388,2025-03-21,103,-94 dBm,High,13%,Normal operation
Kolkata,T907,2025-07-29,24,-77 dBm,High,18%,Maintenance activity
Bangalore,T870,2025-07-18,68,-84 dBm,High,9%,Normal operation
Mumbai,T768,2025-11-16,68,-101 dBm,Low,20%,Heavy user load
Kolkata,T424,2025-06-21,135,-103 dBm,Medium,9%,Backhaul congestion
Hyderabad,T708,2025-01-20,141,-91 dBm,High,14%,Heavy user load
Kolkata,T173,2025-03-13,42,-103 dBm,High,13%,Normal operation
Chennai,T127,2025-05-09,150,-95 dBm,Low,15%,Backhaul congestion
Delhi,T883,2025-01-26,71,-104 dBm,High,16%,Heavy user load
Bangalore,T219,2025-04-19,48,-84 dBm,High,20%,Peak hour traffic
Hyderabad,T554,2025-12-14,76,-73 dBm,Low,5%,Fiber issue detected
Kolkata,T466,2025-09-07,143,-91 dBm,Low,18%,Poor weather
Mumbai,T569,2025-12-08,121,-103 dBm,High,1%,Maintenance activity
Chennai,T690,2025-11-27,104,-88 dBm,High,18%,Power fluctuation
Hyderabad,T781,2025-10-16,136,-110 dBm,Low,17%,Maintenance activity
Delhi,T793,2025-01-21,53,-81 dBm,High,11%,Normal operation
Chennai,T569,2025-11-23,92,-84 dBm,Low,1%,Poor weather
Kolkata,T222,2025-03-23,67,-104 dBm,High,16%,Power fluctuation
Bangalore,T733,2025-09-22,41,-100 dBm,Low,10%,Heavy user load
Delhi,T394,2025-11-16,67,-83 dBm,Low,10%,Backhaul congestion
Kolkata,T426,2025-05-17,52,-74 dBm,High,16%,Backhaul congestion
Bangalore,T675,2025-09-04,64,-88 dBm,Medium,10%,Fiber issue detected
Mumbai,T719,2025-03-01,119,-102 dBm,Medium,18%,Heavy user load
Delhi,T940,2025-07-18,65,-77 dBm,Medium,5%,Maintenance activity
Bangalore,T378,2025-07-07,51,-73 dBm,Low,17%,Power fluctuation
Chennai,T562,2025-11-28,63,-93 dBm,Low,12%,Poor weather
Hyderabad,T959,2025-12-11,19,-78 dBm,Low,3%,Normal operation
Delhi,T225,2025-10-19,103,-88 dBm,High,18%,Normal operation
Bangalore,T762,2025-05-07,77,-82 dBm,High,1%,Fiber issue detected
Kolkata,T459,2025-05-24,64,-97 dBm,Low,3%,Peak hour traffic
Chennai,T860,2025-07-20,38,-101 dBm,High,9%,Heavy user load
Mumbai,T752,2025-03-16,141,-99 dBm,High,1%,Poor weather
Hyderabad,T325,2025-02-20,65,-92 dBm,Low,11%,Backhaul congestion
Bangalore,T624,2025-11-13,6,-93 dBm,High,6%,Fiber issue detected
Kolkata,T212,2025-09-05,83,-107 dBm,Low,2%,Peak hour traffic
Hyderabad,T608,2025-10-03,85,-106 dBm,Low,13%,Peak hour traffic
Bangalore,T966,2025-03-02,145,-89 dBm,High,20%,Normal operation
Kolkata,T359,2025-08-05,11,-76 dBm,Medium,7%,Peak hour traffic
Hyderabad,T716,2025-02-07,115,-109 dBm,High,11%,Backhaul congestion
Hyderabad,T549,2025-11-23,143,-85 dBm,Medium,4%,Maintenance activity
Chennai,T211,2025-10-24,93,-71 dBm,Medium,1%,Maintenance activity
Bangalore,T815,2025-04-30,70,-101 dBm,Medium,16%,Peak hour traffic
Mumbai,T276,2025-12-06,87,-92 dBm,Medium,1%,Normal operation
Mumbai,T362,2025-01-19,101,-100 dBm,High,3%,Backhaul congestion
Hyderabad,T763,2025-05-25,141,-104 dBm,Medium,7%,Backhaul congestion
Mumbai,T264,2025-02-18,39,-80 dBm,High,19%,Fiber issue detected
Chennai,T651,2025-06-29,99,-81 dBm,Low,2%,Poor weather
Mumbai,T426,2025-02-17,143,-99 dBm,Medium,4%,Fiber issue detected
Delhi,T965,2025-01-09,7,-100 dBm,Low,10%,Maintenance activity
Mumbai,T207,2025-02-07,145,-82 dBm,Medium,5%,Normal operation
Kolkata,T948,2025-08-01,9,-85 dBm,Medium,20%,Maintenance activity
Kolkata,T244,2025-08-18,31,-86 dBm,Low,5%,Backhaul congestion
Bangalore,T442,2025-05-25,147,-88 dBm,Low,9%,Fiber issue detected
Bangalore,T265,2025-10-20,141,-92 dBm,High,20%,Power fluctuation
Delhi,T842,2025-12-05,18,-82 dBm,Medium,9%,Power fluctuation
Bangalore,T587,2025-10-10,144,-89 dBm,High,4%,Fiber issue detected
Mumbai,T352,2025-06-22,15,-87 dBm,High,15%,Heavy user load
Delhi,T787,2025-03-07,31,-90 dBm,High,17%,Heavy user load
Mumbai,T723,2025-01-16,106,-81 dBm,High,15%,Backhaul congestion
Bangalore,T782,2025-06-01,150,-98 dBm,High,13%,Fiber issue detected
Delhi,T131,2025-04-21,123,-104 dBm,Low,10%,Normal operation
Delhi,T606,2025-07-12,81,-108 dBm,Medium,9%,Heavy user load
Mumbai,T614,2025-11-27,24,-90 dBm,High,15%,Heavy user load
Mumbai,T878,2025-03-15,104,-90 dBm,Medium,14%,Backhaul congestion
Delhi,T937,2025-12-04,103,-79 dBm,Low,7%,Maintenance activity
Delhi,T725,2025-11-18,110,-71 dBm,Medium,1%,Fiber issue detected
Hyderabad,T461,2025-04-19,91,-102 dBm,Medium,1%,Peak hour traffic
Hyderabad,T761,2025-01-29,18,-71 dBm,Medium,11%,Peak hour traffic
Kolkata,T472,2025-10-17,27,-107 dBm,Low,9%,Fiber issue detected
Kolkata,T107,2025-12-06,139,-72 dBm,Low,10%,Normal operation
Bangalore,T512,2025-10-27,14,-109 dBm,Low,4%,Maintenance activity
Bangalore,T149,2025-09-10,122,-78 dBm,High,3%,Backhaul congestion
Delhi,T618,2025-12-19,48,-75 dBm,Low,20%,Power fluctuation
Delhi,T556,2025-07-23,37,-71 dBm,High,18%,Power fluctuation
Chennai,T602,2025-11-28,94,-103 dBm,Medium,2%,Poor weather
Bangalore,T840,2025-04-20,33,-70 dBm,Low,4%,Maintenance activity
Chennai,T751,2025-04-01,50,-93 dBm,Low,9%,Fiber issue detected
Hyderabad,T508,2025-07-10,37,-106 dBm,High,20%,Maintenance activity
Kolkata,T871,2025-07-29,111,-79 dBm,High,5%,Peak hour traffic
Bangalore,T743,2025-04-06,52,-89 dBm,Medium,2%,Backhaul congestion
Bangalore,T101,2025-10-01,43,-108 dBm,Medium,7%,Backhaul congestion
Delhi,T416,2025-11-20,143,-98 dBm,Medium,18%,Power fluctuation
Bangalore,T594,2025-12-31,67,-88 dBm,High,6%,Power fluctuation
Chennai,T321,2025-01-18,47,-103 dBm,High,3%,Maintenance activity
Chennai,T864,2025-06-07,85,-92 dBm,Medium,2%,Normal operation
Mumbai,T293,2025-09-25,56,-101 dBm,Low,14%,Maintenance activity
Hyderabad,T933,2025-12-07,32,-78 dBm,Low,3%,Peak hour traffic
Chennai,T259,2025-09-16,20,-78 dBm,High,11%,Poor weather
Kolkata,T198,2025-07-24,8,-78 dBm,Medium,13%,Backhaul congestion
Mumbai,T307,2025-04-10,43,-79 dBm,Low,5%,Maintenance activity
Mumbai,T911,2025-08-24,53,-98 dBm,Low,7%,Normal operation
Delhi,T798,2025-07-15,54,-72 dBm,Medium,1%,Power fluctuation
Chennai,T378,2025-03-25,25,-83 dBm,Low,6%,Power fluctuation
Bangalore,T596,2025-06-23,81,-70 dBm,Medium,14%,Fiber issue detected
Bangalore,T143,2025-12-05,95,-92 dBm,Low,15%,Power fluctuation
Bangalore,T440,2025-03-19,76,-104 dBm,High,18%,Normal operation
Chennai,T385,2025-07-22,102,-107 dBm,High,3%,Maintenance activity
Bangalore,T862,2025-12-04,149,-91 dBm,Low,16%,Poor weather
Bangalore,T925,2025-10-15,23,-93 dBm,Medium,16%,Peak hour traffic
Kolkata,T256,2025-11-27,62,-97 dBm,Low,5%,Power fluctuation
Mumbai,T767,2025-02-12,109,-78 dBm,Medium,2%,Poor weather
Mumbai,T663,2025-07-02,116,-88 dBm,High,1%,Normal operation
Chennai,T432,2025-12-02,144,-78 dBm,High,14%,Heavy user load
Kolkata,T733,2025-05-03,26,-105 dBm,Medium,8%,Backhaul congestion
Chennai,T295,2025-11-07,58,-80 dBm,High,12%,Heavy user load
Kolkata,T427,2025-02-14,150,-82 dBm,Medium,5%,Backhaul congestion
Hyderabad,T125,2025-06-27,74,-87 dBm,Medium,10%,Power fluctuation
Kolkata,T265,2025-09-20,13,-96 dBm,Medium,1%,Poor weather
Chennai,T115,2025-08-11,35,-89 dBm,Low,2%,Maintenance activity
Chennai,T354,2025-04-13,98,-71 dBm,High,10%,Maintenance activity
Mumbai,T564,2025-04-13,15,-91 dBm,Medium,3%,Peak hour traffic
Bangalore,T213,2025-05-27,22,-101 dBm,Medium,9%,Maintenance activity
Delhi,T620,2025-03-08,38,-77 dBm,Medium,10%,Fiber issue detected
Mumbai,T759,2025-12-17,35,-90 dBm,Medium,11%,Fiber issue detected
Delhi,T151,2025-05-16,138,-105 dBm,Medium,6%,Peak hour traffic
Hyderabad,T986,2025-06-17,76,-86 dBm,Low,17%,Power fluctuation
Mumbai,T143,2025-06-15,53,-74 dBm,Medium,16%,Maintenance activity
Mumbai,T472,2025-12-18,73,-92 dBm,Medium,14%,Maintenance activity
Kolkata,T421,2025-04-11,129,-84 dBm,High,17%,Backhaul congestion
Bangalore,T772,2025-12-07,93,-93 dBm,Low,17%,Maintenance activity
Kolkata,T605,2025-01-21,95,-107 dBm,High,17%,Poor weather
Mumbai,T885,2025-06-25,71,-95 dBm,Low,1%,Normal operation
