Region,Tower_ID,Date,Call_Drops,Signal_Strength,Congestion_Level,Handoff_Failure,Notes
Amravati,T1411,2024-02-29,7,-106,Low,2,Normal operation
Hubli-Dharwad,T1098,2024-06-06,28,-78,High,9,Network optimization required
Durgapur,T0838,2024-12-19,11,-109,Low,6,Temporary interference
Nagpur,T0818,2024-07-26,12,-76,Medium,3,Weather impact
Loni,T0463,2023-05-06,10,-93,Medium,0,Low traffic
Mumbai,T0066,2025-10-25,10,-95,Low,4,Low traffic
Rourkela,T0131,2025-10-25,10,-88,Low,3,Routine monitoring
Kolhapur,T0482,2024-02-14,14,-60,High,2,Moderate congestion
Cuttack,T1170,2023-02-22,13,-86,Medium,2,Temporary interference
Ujjain,T0269,2023-02-25,0,-61,Low,0,Low traffic
Bhiwandi,T0920,2025-07-02,6,-111,Low,0,Normal operation
Kanpur,T1063,2023-04-05,16,-101,Medium,3,Temporary interference
Gulbarga,T1483,2024-06-05,10,-115,Medium,1,Routine monitoring
Delhi,T1416,2024-07-29,6,-99,Low,3,Normal operation
Jammu,T0654,2024-03-02,23,-96,High,6,Weather impact
Saharanpur,T0506,2025-02-17,18,-69,High,5,Temporary interference
Raipur,T1225,2025-09-30,5,-69,Low,3,Low traffic
Jaipur,T0228,2024-07-31,2,-64,Medium,0,Low traffic
Asansol,T0757,2024-03-30,6,-64,Medium,2,Low traffic
Jammu,T0200,2023-08-09,9,-107,Low,3,Routine monitoring
Vasai-Virar,T0458,2025-12-24,29,-94,High,12,Weak signal area
Faridabad,T0491,2025-05-06,5,-87,Low,2,Stable network
Mysuru,T1270,2023-04-19,9,-96,Low,3,Stable network
Nanded,T1197,2023-02-18,7,-77,Medium,0,Normal operation
Ajmer,T0525,2023-05-28,1,-79,Low,0,Routine monitoring
Nellore,T0909,2023-02-08,7,-104,Low,3,Stable network
Jalandhar,T0036,2025-12-08,26,-105,High,5,Weak signal area
Bhiwandi,T0552,2023-09-25,11,-113,Low,2,Weather impact
Warangal,T1096,2024-02-08,4,-69,Medium,1,Normal operation
Saharanpur,T0222,2024-08-26,4,-78,Medium,0,Low traffic
Bhopal,T1239,2024-02-29,4,-68,Medium,1,Stable network
Kochi,T1308,2025-06-29,10,-83,Medium,1,Routine monitoring
Coimbatore,T0340,2025-04-16,16,-115,Medium,3,Temporary interference
Jodhpur,T0189,2023-04-06,6,-112,Low,2,Normal operation
Tiruchirappalli,T1008,2025-03-05,9,-102,Low,3,Normal operation
Bhavnagar,T0723,2025-08-24,8,-69,Low,5,Routine monitoring
Nellore,T0530,2024-06-24,11,-98,Medium,4,Temporary interference
Madurai,T1220,2024-04-14,4,-112,Low,0,Routine monitoring
Patna,T1320,2023-01-21,1,-79,Low,1,Low traffic
Gurugram,T1432,2023-08-03,16,-109,Medium,3,Weather impact
Jodhpur,T0574,2025-12-20,12,-108,Medium,0,Temporary interference
Aurangabad,T1178,2023-12-18,6,-76,Low,3,Routine monitoring
Guntur,T0619,2023-03-18,7,-100,Low,3,Low traffic
Ujjain,T0345,2023-07-25,9,-114,Low,2,Normal operation
Jalgaon,T0082,2023-06-03,5,-78,Medium,0,Routine monitoring
Ludhiana,T0641,2023-09-07,11,-104,Low,2,Moderate congestion
Warangal,T0984,2023-07-08,10,-91,Medium,1,Normal operation
Jhansi,T0153,2023-12-03,13,-108,Medium,2,Handoff instability
Howrah,T0301,2024-08-21,9,-106,Medium,1,Low traffic
Erode,T0322,2025-03-13,2,-72,Low,2,Stable network
Kalyan-Dombivli,T1410,2025-04-14,9,-67,Medium,2,Normal operation
Guntur,T0311,2025-02-07,4,-86,Low,0,Normal operation
Kota,T0571,2023-03-10,13,-90,Medium,1,Moderate congestion
Ajmer,T1356,2024-12-18,3,-101,Low,0,Stable network
Coimbatore,T0815,2024-10-31,13,-78,High,2,Weather impact
Surat,T0857,2025-05-19,29,-78,High,13,Weak signal area
Ambattur,T1357,2024-01-01,10,-97,Medium,0,Stable network
Sangli,T0387,2025-03-22,17,-101,Medium,3,Temporary interference
Solapur,T1473,2023-05-19,25,-100,High,9,Moderate congestion
Coimbatore,T0796,2024-07-02,27,-71,High,11,Weak signal area
Tirunelveli,T0748,2025-06-19,26,-109,High,8,Fiber outage
Jalandhar,T1399,2023-07-24,9,-99,Low,1,Stable network
Lucknow,T0810,2023-06-14,10,-99,Medium,0,Routine monitoring
Howrah,T0181,2023-08-25,26,-69,High,8,Backhaul issue
Jodhpur,T1416,2023-08-12,2,-96,Low,1,Routine monitoring
Jhansi,T0039,2024-10-10,11,-73,Medium,5,Temporary interference
Amravati,T0944,2023-11-03,11,-113,Low,3,Temporary interference
Aligarh,T0769,2025-11-24,8,-87,Medium,1,Low traffic
Gulbarga,T0693,2025-12-26,34,-85,High,14,Peak hour congestion
Solapur,T1479,2023-05-29,12,-104,Medium,4,Handoff instability
Bhopal,T1370,2025-09-27,7,-96,Low,2,Normal operation
Mumbai,T1336,2024-12-21,3,-73,Low,3,Low traffic
Jammu,T0257,2023-04-03,3,-81,Low,0,Normal operation
Akola,T0929,2024-06-22,7,-82,Low,3,Low traffic
Salem,T1447,2025-03-30,14,-71,Medium,6,Handoff instability
Vasai-Virar,T0236,2025-05-21,4,-108,Low,0,Normal operation
Ranchi,T0677,2025-03-09,6,-67,Low,4,Stable network
Ujjain,T0872,2025-04-28,8,-71,Low,3,Stable network
Bikaner,T1216,2024-10-01,2,-98,Low,0,Low traffic
Nagpur,T0553,2024-05-02,5,-78,Medium,0,Stable network
Lucknow,T0177,2024-09-12,8,-67,Medium,1,Routine monitoring
Warangal,T0279,2024-08-09,13,-108,Medium,0,Temporary interference
Kanpur,T0431,2024-06-25,7,-72,Medium,0,Low traffic
Bhopal,T1091,2025-05-16,20,-90,High,4,Handoff instability
Nagpur,T0490,2025-10-09,6,-87,Low,4,Routine monitoring
Loni,T0550,2023-03-07,31,-81,High,12,Fiber outage
Noida,T0819,2025-01-23,26,-115,High,5,Backhaul issue
Dehradun,T0209,2025-03-31,27,-106,High,5,Peak hour congestion
Nanded,T0628,2025-06-22,3,-68,Medium,0,Low traffic
Bengaluru,T0629,2025-02-09,13,-108,Medium,2,Handoff instability
Amritsar,T0916,2025-10-28,7,-101,Low,0,Low traffic
Saharanpur,T0307,2025-06-06,7,-76,Medium,3,Normal operation
Ludhiana,T1018,2025-06-14,19,-111,Medium,4,Weather impact
Noida,T0933,2023-08-23,8,-78,Medium,3,Routine monitoring
Bhavnagar,T0343,2023-06-30,13,-99,Low,4,Moderate congestion
Jalandhar,T1061,2023-11-12,30,-87,High,10,Peak hour congestion
Kota,T1272,2023-09-13,8,-102,Medium,0,Routine monitoring
Patna,T0960,2023-06-25,26,-71,High,8,Peak hour congestion
Rourkela,T1044,2025-04-07,4,-71,Low,1,Routine monitoring
Nellore,T0721,2023-08-20,11,-92,Medium,3,Moderate congestion
Bhiwandi,T0593,2025-04-14,17,-66,High,2,Weather impact
Vasai-Virar,T0300,2024-02-23,6,-108,Low,2,Stable network
Siliguri,T0152,2024-05-02,7,-103,Medium,0,Low traffic
Mumbai,T0106,2024-06-15,9,-109,Medium,1,Stable network
Lucknow,T1131,2025-11-05,2,-86,Low,1,Normal operation
Aurangabad,T0644,2024-09-29,9,-90,Low,2,Normal operation
Bengaluru,T0649,2024-03-24,1,-71,Low,0,Normal operation
Navi Mumbai,T0978,2025-05-22,30,-109,High,9,Network optimization required
Prayagraj,T0796,2023-03-23,18,-62,High,5,Moderate congestion
Kolhapur,T0284,2023-01-15,3,-80,Low,2,Normal operation
Pimpri-Chinchwad,T0836,2024-10-05,4,-99,Low,0,Normal operation
Akola,T0642,2025-08-06,4,-67,Low,1,Normal operation
Gurugram,T0551,2023-06-16,9,-81,Low,5,Low traffic
Madurai,T0139,2023-11-21,8,-102,Low,2,Routine monitoring
Agra,T0717,2024-06-11,23,-95,High,5,Weather impact
Nanded,T0223,2025-06-16,5,-77,Low,0,Stable network
Gurugram,T0656,2024-04-13,8,-71,Medium,4,Low traffic
Malegaon,T1294,2024-09-22,19,-67,High,7,Handoff instability
Kalyan-Dombivli,T0143,2024-08-08,11,-64,Medium,2,Weather impact
Ujjain,T0554,2023-05-07,6,-74,Low,3,Routine monitoring
Jamshedpur,T0315,2023-01-24,15,-107,Medium,2,Moderate congestion
Warangal,T0276,2025-02-24,11,-86,Medium,0,Handoff instability
Varanasi,T0338,2023-08-04,14,-82,Medium,4,Handoff instability
Siliguri,T0474,2024-10-09,6,-61,Medium,1,Stable network
Jammu,T0029,2023-03-08,14,-89,Medium,2,Weather impact
Ajmer,T0386,2023-04-14,7,-63,Medium,0,Low traffic
Belgaum,T0022,2023-03-12,6,-114,Low,1,Routine monitoring
Sangli,T0662,2023-07-04,7,-79,Low,3,Normal operation
Ujjain,T1367,2024-03-21,7,-79,Medium,2,Normal operation
Bhiwandi,T1483,2023-08-28,27,-110,High,9,Backhaul issue
Howrah,T1018,2024-10-20,30,-108,High,8,Network optimization required
Ahmedabad,T1377,2025-05-03,9,-74,Low,5,Stable network
Bhilai,T0977,2023-11-04,0,-91,Low,0,Routine monitoring
Gurugram,T0505,2023-12-23,20,-62,High,8,Weather impact
Indore,T1168,2024-06-04,3,-107,Low,0,Normal operation
Pimpri-Chinchwad,T0818,2023-07-23,24,-94,High,8,Weather impact
Chandigarh,T0683,2023-08-17,10,-109,Low,1,Routine monitoring
Ajmer,T1030,2023-09-01,9,-79,Low,3,Stable network
Jalgaon,T0188,2023-08-16,29,-103,High,9,Fiber outage
Loni,T0563,2024-03-11,7,-102,Low,2,Low traffic
Indore,T1023,2024-05-03,18,-68,High,5,Weather impact
Tirunelveli,T0716,2025-11-28,9,-113,Low,0,Normal operation
Coimbatore,T0705,2024-01-03,4,-80,Low,3,Stable network
Bengaluru,T1146,2025-02-22,7,-114,Low,2,Stable network
Malegaon,T0652,2024-03-12,3,-67,Low,3,Routine monitoring
Hubli-Dharwad,T1469,2024-10-21,7,-96,Low,4,Routine monitoring
Vijayawada,T0209,2023-08-11,24,-111,High,5,Moderate congestion
Firozabad,T1310,2024-10-09,2,-63,Low,3,Stable network
Mysuru,T0357,2024-07-16,10,-76,Medium,0,Stable network
Bhiwandi,T0832,2024-06-27,6,-66,Medium,2,Stable network
Cuttack,T0302,2024-05-15,11,-82,Medium,5,Moderate congestion
Indore,T1438,2023-06-17,31,-113,High,8,Weak signal area
Bhavnagar,T0758,2023-12-13,5,-97,Low,0,Stable network
Ajmer,T1214,2024-12-26,6,-75,Medium,1,Routine monitoring
Bengaluru,T1225,2025-11-06,13,-115,Low,5,Weather impact
Jodhpur,T0400,2024-06-22,7,-92,Low,2,Normal operation
Surat,T0869,2025-02-08,3,-109,Low,0,Routine monitoring
Navi Mumbai,T1286,2023-04-25,23,-73,High,6,Handoff instability
Bareilly,T0361,2024-06-03,7,-82,Medium,2,Routine monitoring
Ulhasnagar,T0656,2023-01-21,6,-90,Low,2,Low traffic
Vadodara,T0870,2024-11-22,11,-104,Low,3,Weather impact
Nashik,T0966,2025-09-16,0,-72,Low,1,Routine monitoring
Jaipur,T1324,2023-12-16,15,-114,Low,5,Handoff instability
Hubli-Dharwad,T1045,2023-07-06,9,-111,Medium,1,Stable network
Jhansi,T0875,2023-07-06,8,-108,Low,1,Stable network
Guwahati,T0663,2023-02-01,15,-73,High,2,Temporary interference
Mysuru,T0077,2025-07-09,14,-115,Medium,1,Weather impact
Jamnagar,T0250,2025-10-31,31,-75,High,12,Network optimization required
Cuttack,T0794,2023-03-07,12,-107,Medium,0,Weather impact
Delhi,T0497,2024-04-29,29,-111,High,11,Network optimization required
Bengaluru,T1213,2023-10-23,12,-114,Medium,0,Moderate congestion
Udaipur,T0510,2023-01-27,27,-71,High,9,Network optimization required
Bikaner,T1463,2023-08-14,3,-73,Low,0,Stable network
Akola,T0795,2025-09-17,23,-78,High,7,Temporary interference
Bhubaneswar,T0226,2024-10-26,6,-67,Medium,3,Normal operation
Gorakhpur,T0872,2025-10-21,24,-64,High,9,Handoff instability
Bikaner,T0985,2025-06-11,15,-101,Medium,4,Weather impact
Bikaner,T0136,2025-11-16,6,-69,Low,3,Normal operation
Siliguri,T0545,2025-04-06,4,-85,Low,1,Low traffic
Udaipur,T1482,2025-04-26,10,-77,Medium,2,Routine monitoring
Rourkela,T0578,2024-06-21,4,-77,Low,0,Normal operation
Aurangabad,T0595,2025-07-24,13,-103,Medium,4,Weather impact
Kanpur,T0262,2025-07-26,3,-100,Low,0,Routine monitoring
Kalyan-Dombivli,T1098,2023-02-11,13,-102,Low,4,Weather impact
Aurangabad,T0190,2023-03-30,16,-90,Medium,6,Handoff instability
Pimpri-Chinchwad,T0300,2025-07-09,10,-76,Medium,2,Routine monitoring
Asansol,T1320,2025-01-10,6,-87,Low,4,Normal operation
Tiruchirappalli,T0578,2025-02-06,9,-106,Medium,0,Stable network
Raipur,T1178,2024-01-03,5,-64,Low,3,Routine monitoring
Erode,T0251,2025-11-13,3,-87,Low,2,Normal operation
Loni,T0544,2024-10-01,11,-90,Medium,4,Moderate congestion
Belgaum,T0502,2023-02-01,20,-60,High,6,Weather impact
Mysuru,T0031,2023-03-04,11,-77,Low,6,Moderate congestion
Meerut,T0732,2025-05-27,7,-103,Low,0,Routine monitoring
Ajmer,T0098,2025-04-06,13,-93,Medium,2,Temporary interference
Srinagar,T0170,2025-02-25,5,-68,Medium,2,Routine monitoring
Vijayawada,T1138,2024-05-22,13,-112,Low,4,Temporary interference
Kolkata,T0886,2024-07-02,18,-98,High,3,Temporary interference
Surat,T0833,2023-10-25,2,-61,Medium,0,Routine monitoring
Gurugram,T0326,2025-02-01,6,-91,Low,3,Low traffic
Ambattur,T1441,2023-07-31,8,-110,Low,2,Normal operation
Gorakhpur,T0083,2023-03-11,29,-99,High,12,Backhaul issue
Nashik,T1021,2024-08-23,12,-107,Medium,0,Temporary interference
Ujjain,T0441,2024-08-02,1,-73,Low,0,Routine monitoring
Gwalior,T0590,2025-09-04,17,-69,High,5,Temporary interference
Jalgaon,T0775,2023-10-19,22,-100,High,5,Weather impact
Jhansi,T0764,2024-10-25,5,-93,Low,1,Normal operation
Bhiwandi,T0757,2025-03-22,22,-65,High,8,Handoff instability
Coimbatore,T0366,2023-01-26,6,-88,Low,2,Routine monitoring
Ranchi,T0653,2023-12-23,10,-93,Medium,0,Routine monitoring
Ujjain,T1163,2025-09-30,7,-99,Low,2,Routine monitoring
Bhiwandi,T1439,2025-09-15,16,-110,Medium,3,Temporary interference
Hyderabad,T0832,2024-11-08,5,-93,Low,0,Low traffic
Varanasi,T1117,2024-01-26,22,-110,High,4,Handoff instability
Ahmedabad,T0197,2023-10-10,11,-100,Low,4,Handoff instability
Faridabad,T1421,2025-06-10,18,-110,Medium,4,Moderate congestion
Kochi,T1259,2025-12-26,2,-73,Low,1,Normal operation
Ulhasnagar,T0585,2025-08-11,24,-94,High,4,Moderate congestion
Erode,T1012,2023-10-02,9,-61,Medium,1,Routine monitoring
Ujjain,T0288,2023-12-04,2,-76,Low,0,Stable network
Erode,T0656,2024-02-23,2,-87,Low,1,Low traffic
Bareilly,T0107,2024-04-30,23,-101,High,5,Temporary interference
Chennai,T1400,2025-08-22,4,-75,Medium,0,Stable network
Varanasi,T1291,2024-11-01,27,-86,High,11,Peak hour congestion
Nashik,T0146,2025-05-03,23,-75,High,5,Temporary interference
Asansol,T0721,2025-01-29,6,-75,Medium,2,Normal operation
Akola,T0201,2023-06-28,22,-87,High,6,Weather impact
Noida,T0643,2025-01-15,2,-104,Low,0,Normal operation
Thane,T1184,2024-09-18,1,-78,Low,2,Stable network
Coimbatore,T0654,2024-01-11,8,-79,Low,4,Low traffic
Kolkata,T0195,2024-12-07,1,-71,Low,1,Low traffic
Indore,T1351,2023-01-13,2,-74,Low,2,Low traffic
Tiruppur,T1206,2024-08-20,8,-91,Low,3,Stable network
Ambattur,T0782,2023-11-29,4,-86,Low,1,Normal operation
Jamnagar,T0317,2023-08-15,16,-71,Medium,7,Moderate congestion
Bareilly,T1001,2024-02-14,6,-87,Low,3,Stable network
Aligarh,T0292,2025-05-15,17,-83,Medium,5,Weather impact
Mysuru,T0442,2023-11-24,6,-104,Low,3,Low traffic
Visakhapatnam,T0376,2025-04-23,10,-101,Medium,0,Normal operation
Asansol,T0886,2024-04-15,8,-95,Medium,0,Low traffic
Erode,T0664,2024-04-05,1,-79,Low,2,Low traffic
Mangalore,T1428,2023-07-22,8,-111,Medium,0,Stable network
Delhi,T0262,2023-11-04,4,-67,Medium,1,Routine monitoring
Ulhasnagar,T1462,2024-04-05,9,-107,Low,2,Stable network
Raipur,T0251,2023-01-11,7,-68,Low,3,Normal operation
Faridabad,T1032,2023-09-24,4,-71,Medium,0,Normal operation
Guntur,T0170,2023-06-04,3,-66,Medium,0,Low traffic
Asansol,T0268,2025-09-23,13,-90,Low,5,Moderate congestion
Faridabad,T0115,2023-04-01,8,-92,Medium,1,Low traffic
Jabalpur,T0684,2024-08-21,0,-65,Low,0,Low traffic
Jamshedpur,T0096,2025-05-29,5,-81,Low,2,Stable network
Kanpur,T0908,2023-12-09,25,-78,High,10,Weather impact
Kolkata,T0893,2025-07-13,3,-108,Low,0,Low traffic
Warangal,T0016,2025-07-17,1,-82,Low,1,Stable network
Mumbai,T1262,2024-05-18,2,-67,Low,0,Low traffic
Hyderabad,T0486,2024-05-16,28,-103,High,6,Network optimization required
Jaipur,T0151,2023-10-28,4,-71,Low,3,Stable network
Kolkata,T0268,2023-05-02,8,-84,Low,2,Stable network
Gurugram,T1378,2025-10-21,8,-66,Medium,1,Normal operation
Kanpur,T0700,2024-06-05,5,-80,Low,1,Normal operation
Nagpur,T0753,2025-03-29,6,-74,Medium,0,Routine monitoring
Firozabad,T0626,2025-08-19,12,-112,Low,5,Temporary interference
Guwahati,T1135,2025-07-21,5,-61,Medium,2,Low traffic
Warangal,T0342,2025-03-06,12,-101,Medium,1,Handoff instability
Gulbarga,T0270,2025-05-08,1,-65,Low,2,Low traffic
Akola,T0679,2025-09-25,23,-113,High,6,Weather impact
Hyderabad,T1121,2025-12-22,1,-69,Low,2,Routine monitoring
Raipur,T0029,2024-03-19,7,-85,Low,2,Low traffic
Chennai,T0591,2024-05-15,11,-60,Medium,3,Handoff instability
Kochi,T0741,2023-08-20,14,-79,Medium,3,Handoff instability
Cuttack,T0373,2024-03-26,14,-101,Medium,2,Moderate congestion
Akola,T0418,2024-06-28,8,-66,Low,4,Routine monitoring
Noida,T0427,2025-06-06,14,-87,Medium,3,Handoff instability
Jalgaon,T0299,2025-04-19,8,-92,Low,5,Stable network
Gurugram,T0285,2024-03-07,13,-91,Medium,1,Moderate congestion
Patna,T0135,2023-02-28,19,-63,High,7,Moderate congestion
Jhansi,T0251,2024-11-05,7,-81,Medium,1,Stable network
Saharanpur,T1181,2023-12-04,3,-95,Low,2,Routine monitoring
Tirunelveli,T0806,2023-10-27,17,-101,Medium,3,Handoff instability
Kolkata,T0783,2023-09-14,6,-112,Low,0,Normal operation
Gurugram,T0975,2025-09-18,26,-96,High,8,Peak hour congestion
Gulbarga,T0744,2025-12-11,6,-70,Low,3,Normal operation
Jammu,T1286,2023-09-24,23,-65,High,8,Moderate congestion
Kota,T1465,2025-01-31,0,-69,Low,0,Low traffic
Patna,T0260,2025-07-26,12,-90,Medium,2,Weather impact
Thane,T1041,2025-04-23,15,-78,High,2,Temporary interference
Mysuru,T1299,2024-12-10,7,-94,Medium,0,Routine monitoring
Salem,T0674,2024-09-15,2,-65,Low,2,Low traffic
Indore,T0672,2024-12-16,8,-80,Medium,0,Stable network
Saharanpur,T0277,2025-06-24,10,-83,Medium,1,Routine monitoring
Jaipur,T0359,2025-01-05,21,-114,High,3,Handoff instability
Tiruchirappalli,T0508,2025-07-13,8,-112,Low,4,Low traffic
Bengaluru,T1316,2025-12-17,27,-95,High,11,Fiber outage
Howrah,T1138,2025-04-22,7,-73,Medium,3,Normal operation
Kalyan-Dombivli,T1481,2024-04-27,4,-88,Low,1,Routine monitoring
Kolhapur,T0289,2025-06-05,9,-106,Medium,0,Routine monitoring
Howrah,T0301,2025-09-18,7,-111,Low,0,Normal operation
Hubli-Dharwad,T0093,2025-06-01,12,-102,Medium,0,Temporary interference
Kochi,T0529,2025-11-21,7,-67,Medium,3,Low traffic
Srinagar,T0159,2024-04-23,25,-92,High,6,Temporary interference
Tiruchirappalli,T0659,2024-02-29,4,-97,Low,2,Normal operation
Navi Mumbai,T0882,2025-10-27,4,-97,Low,0,Stable network
Jamshedpur,T0518,2023-11-23,2,-65,Medium,0,Normal operation
Mangalore,T1031,2024-10-04,16,-100,High,2,Handoff instability
Ulhasnagar,T1138,2024-10-26,11,-92,Medium,1,Weather impact
Solapur,T0974,2025-02-23,16,-104,Medium,3,Weather impact
Jaipur,T1479,2023-06-04,9,-67,Medium,2,Normal operation
Bhiwandi,T0819,2025-11-26,12,-69,Medium,4,Weather impact
Ghaziabad,T1215,2023-06-17,7,-90,Medium,1,Stable network
Warangal,T0491,2024-02-27,6,-82,Low,1,Routine monitoring
Indore,T1322,2024-05-14,10,-94,Medium,0,Low traffic
Solapur,T1473,2024-06-27,20,-77,High,4,Weather impact
Jodhpur,T0320,2025-06-08,23,-92,High,8,Handoff instability
Ujjain,T0439,2024-07-22,7,-89,Low,3,Normal operation
Madurai,T0217,2023-05-20,4,-88,Low,1,Routine monitoring
Bhilai,T0885,2023-06-23,8,-109,Low,1,Normal operation
Belgaum,T0895,2023-04-09,15,-100,Low,6,Handoff instability
Loni,T0750,2023-04-13,10,-106,Low,5,Low traffic
Noida,T0971,2024-08-11,13,-70,Medium,4,Weather impact
Jammu,T1220,2024-11-28,3,-103,Low,0,Low traffic
Jalandhar,T0521,2025-05-05,12,-114,Low,2,Moderate congestion
Kolhapur,T0679,2024-05-22,11,-99,Low,3,Weather impact
Tiruchirappalli,T0732,2023-11-14,7,-73,Medium,2,Routine monitoring
Bareilly,T0602,2025-01-26,0,-63,Low,0,Stable network
Nanded,T0010,2024-05-12,8,-84,Medium,3,Routine monitoring
Dehradun,T0476,2024-06-08,13,-87,Medium,4,Handoff instability
Kanpur,T1371,2024-11-30,16,-110,Low,6,Weather impact
Howrah,T1107,2025-04-27,8,-83,Medium,2,Routine monitoring
Raipur,T1408,2024-01-01,13,-113,Medium,0,Moderate congestion
Kochi,T0660,2024-06-05,24,-82,High,5,Weather impact
Chandigarh,T0757,2024-12-03,4,-69,Low,3,Routine monitoring
Navi Mumbai,T1130,2025-12-06,27,-79,High,8,Fiber outage
Madurai,T0234,2025-12-22,3,-91,Low,0,Normal operation
Jalandhar,T0559,2024-05-28,3,-79,Low,2,Low traffic
Rourkela,T0081,2023-04-16,10,-67,Low,6,Normal operation
Jodhpur,T0856,2025-12-06,10,-78,Medium,2,Routine monitoring
Coimbatore,T1381,2025-11-01,12,-89,Medium,2,Weather impact
Rourkela,T0973,2023-07-12,8,-80,Low,2,Stable network
Navi Mumbai,T0507,2023-11-22,10,-60,Medium,3,Routine monitoring
